RowID,Player,Measure,Year,Values
266,Chris Paul,Minutes Played,2009,1712
267,Kevin Durant,Minutes Played,2009,3239
268,Derrick Rose,Minutes Played,2009,2871
269,Dwayne Wade,Minutes Played,2009,2792
270,Kobe Bryant,Field Goals,2009,716
271,Joe Johnson,Field Goals,2009,635
272,LeBron James,Field Goals,2009,768
273,Carmelo Anthony,Field Goals,2009,688
274,Dwight Howard,Field Goals,2009,510
275,Chris Bosh,Field Goals,2009,600
276,Chris Paul,Field Goals,2009,314
277,Kevin Durant,Field Goals,2009,794
278,Derrick Rose,Field Goals,2009,672
279,Dwayne Wade,Field Goals,2009,719
280,Kobe Bryant,Field Goal Attempts,2009,1569
281,Joe Johnson,Field Goal Attempts,2009,1386
282,LeBron James,Field Goal Attempts,2009,1528
283,Carmelo Anthony,Field Goal Attempts,2009,1502
284,Dwight Howard,Field Goal Attempts,2009,834
285,Chris Bosh,Field Goal Attempts,2009,1158
286,Chris Paul,Field Goal Attempts,2009,637
287,Kevin Durant,Field Goal Attempts,2009,1668
288,Derrick Rose,Field Goal Attempts,2009,1373
289,Dwayne Wade,Field Goal Attempts,2009,1511
290,Kobe Bryant,Points,2009,1970
291,Joe Johnson,Points,2009,1619
292,LeBron James,Points,2009,2258
293,Carmelo Anthony,Points,2009,1943
294,Dwight Howard,Points,2009,1503
295,Chris Bosh,Points,2009,1678
296,Chris Paul,Points,2009,841
297,Kevin Durant,Points,2009,2472
298,Derrick Rose,Points,2009,1619
299,Dwayne Wade,Points,2009,2045
300,Kobe Bryant,Salary,2010,24806250
301,Joe Johnson,Salary,2010,16324500
302,LeBron James,Salary,2010,14500000
303,Carmelo Anthony,Salary,2010,17149243
304,Dwight Howard,Salary,2010,16647180
305,Chris Bosh,Salary,2010,14500000
306,Chris Paul,Salary,2010,14940153
307,Kevin Durant,Salary,2010,6053663
308,Derrick Rose,Salary,2010,5546160
309,Dwayne Wade,Salary,2010,14200000
310,Kobe Bryant,Games Played,2010,82
311,Joe Johnson,Games Played,2010,72
312,LeBron James,Games Played,2010,79
313,Carmelo Anthony,Games Played,2010,77
314,Dwight Howard,Games Played,2010,78
